id,stroke_number,hole_id,rnd_id,made
145,145,145,145,145
74,74,74,74,74
110,110,110,110,110
48,48,48,48,48
41,41,41,41,41
28,28,28,28,28
31,31,31,31,31
36,36,36,36,36
18,18,18,18,18
42,42,42,42,42
9,9,9,9,9
45,45,45,45,45
2,2,2,2,2
8,8,8,8,8
27,27,27,27,27
14,14,14,14,14
3,3,3,3,3
31,31,31,31,31
1,1,1,1,1
21,21,21,21,21
7,7,7,7,7
6,6,6,6,6
13,13,13,13,13
15,15,15,15,15
13,13,13,13,13
4,4,4,4,4
1,1,1,1,1
23,23,23,23,23
1,1,1,1,1
4,4,4,4,4
11,11,11,11,11
10,10,10,10,10
1,1,1,1,1
4,4,4,4,4
3,3,3,3,3
8,8,8,8,8
3,3,3,3,3
2,2,2,2,2
6,6,6,6,6
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
2,2,2,2,2
2,2,2,2,2
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,1
